"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Adiyogi Rudraksha with copper chain. Consecrated Isha Panchamukhi (five faced) Rudraksha bead.","Isha Life SG","Jewellery - Copper",23,288,0,-12,276,0,276
"Linga Bhairavi Lamp. Brass lamp. Strong and sturdy oil lamp","Isha Life","Consecrated Devi - Lamps",5,275,0,0,275,0,275
"Honey Amla, 500 gm","Isha Life SG","Health - Honey",13,260,0,0,260,0,260
"Organic Cotton Meditation Mat","Isha Life SG","Yoga Store - Cotton Mats",7,259,0,0,259,0,259
"Consecrated Devi Cotton Shawl (Angavastram)","Isha Life SG","Consecrated Devi - Shawls & Vastram",21,252,0,0,252,0,252
"Small Copper Water Bottle With Sadhguru Quote, 500ml","Isha Life SG","Yoga Store - Copper Bottles",9,252,0,0,252,0,252
"Copper Water Bottle With Adiyogi Imprint - 900 ml","A.P. Exports","Copper - Drinkware",5,250,0,0,250,0,250
"Women Organic Cotton Knitted Drawstring Pants - Beige","Isha Life SG","Clothing - Women's Pants",10,245,0,0,245,0,245
"Organic Plain Dhoti Pant Indigo","Isha Life","Clothing - Unisex Dhoti Pants",7,245,0,0,245,0,245
"Bloom Extra Nourishment & Protection Organic Shampoo with Bhringraj & Henna (All Hair Types) - 200ml","Isha Life SG","Bloom Hair Care",10,245,0,0,245,0,245
"Organic Incense Sage, 10 Sticks","Isha Life","Home Decor - Incense Sticks",161,244.5,0,-3,241.5,0,241.5
"Nandhi Ladies Kurta Off White","Isha Life","Clothing - Women's Kurtas",8,240,0,0,240,0,240
"Adiyogi Silver Earring","A.P. Exports","Jewellery - Earrings",4,240,0,0,240,0,240
"Organic Unisex Printed Dhoti Pant Indigo","Isha Life","Clothing - Unisex Dhoti Pants",6,280,0,-40,240,0,240
"Shivanga Kit with Mala","Isha Life SG","Yoga Programmes Kit Supplies (PBK, Bhutashudhi)",16,240,0,0,240,0,240
"Bhairavi Sadhana Kit - English","Isha Life SG","Yoga Programmes Kit Supplies (PBK, Bhutashudhi)",79,237,0,0,237,0,237
"Disc Camphor for Linga Bhairavi","Isha Life SG","Consecrated - Linga Bhairavi",79,237,0,0,237,0,237
"Linga Bhairavi Silver Pendant - Medium","Isha Life SG","Consecrated Devi - Pendants",2,232,0,0,232,0,232
"Mystical Meditation Mat","Isha Life SG","Yoga Store - Cotton Mats",6,222,0,0,222,0,222
"Men Organic Cotton Beige Knitted Drawstring Pants","Isha Life SG","Clothing - Men's Pants",9,245,0,-24.5,220.5,0,220.5
"Men's Beige Hemp Kurta","A.P. Exports","Clothing - Men's Kurtas",9,220.5,0,0,220.5,0,220.5
"Unisex Moon Printed Track Pants - Dark Grey","Isha Life SG","Clothing - Unisex Track Pants",10,220,0,0,220,0,220
"Death - An Inside Story","Isha Life SG","Books - English",11,240,0,-20,220,0,220
"Bloom Refreshing & Skin Brightening Shower Gel With Saffron & Sandal Extract (All Skin Types) - 200ml","Isha Life SG","Bloom Skin Care",12,210,0,0,210,0,210
"Handcrafted Hanging Iron Bell","Isha Life SG","Home Decor Wall Hangings - Bells",7,210,0,0,210,0,210
"Indian Experience Pranayama Cushion","Isha Life SG","Yoga Store - Pranayam Cushions",17,204,0,0,204,0,204
"Linga Bhairavi Copper Pendant - Medium","Isha Life SG","Consecrated Devi - Pendants",20,200,0,0,200,0,200
"Isha Balm - 20gms","A.P. Exports","Health - Balms",40,200,0,0,200,0,200
"Organic Dharbha Grass Meditation yoga Mat","Isha Life","Yoga Store - Dharba Grass Mats",4,200,0,0,200,0,200
"Adiyogi Copper Water Bottle, 950 ml","Isha Life SG","Yoga Store - Copper Bottles",3,198,0,0,198,0,198
"Hammered Copper Uruli - Medium","Isha Life SG","Home Decor - Copper Urilis",3,198,0,0,198,0,198
"Consecrated Adiyogi Cotton Shawl","Isha Life SG","Consecrated - Adiyogi Shawls",14,196,0,0,196,0,196
"Dwimukhi Rudraksha Beads - Two Faced","Isha Life SG","Consecrated - Rudrakshas",13,240,0,-45,195,0,195
"Samyama Unisex Organic Cotton Sadhana Half-Sleeve T-Shirt - Orange","Isha Life","Mens - Tees",11,238,0,-51,187,0,187
"Organic Incense Lotus, 10 Sticks","Isha Life","Home Decor - Incense Sticks",122,183,0,0,183,0,183
"Men’s Organic Cotton Sadhana Pyjama - White","Isha Life SG","Clothing - Men's Pants",5,180,0,0,180,0,180
"Sadhguru Photo - 20x20 (With Frame)","Isha Life SG","Photos",6,180,0,0,180,0,180
"Devi Vastram","Isha Life","Consecrated Devi - Shawls & Vastram",60,195,0,-15,180,0,180
"Linga Bhairavi Copper Pendant - Small","Isha Life SG","Consecrated Devi - Pendants",36,180,0,0,180,0,180
"Organic Mens Om Kurta Maroon","Isha Life","Clothing - Men's Kurtas",8,176,0,0,176,0,176
"Bloom Hair Fall Control & Repair Organic Hair Oil With Sesame Oil & Methi Extract (All Hair Types) - 100ml","Isha Life SG","Bloom Hair Care",9,195,0,-19.5,175.5,0,175.5
"Bloom All in 1 Organic Face Wash WIth Sandalwood & Turmeric Extract (All Skin Types) - 100ml","Isha Life SG","Bloom Skin Care",10,175,0,0,175,0,175
"Linga Bhairavi Camphor","Isha Life","Consecrated - Linga Bhairavi",29,174,0,0,174,0,174
"Samyama Womens Organic Cotton Sadhana Kurta - White","Isha Life SG","Clothing - Women's Kurtas",7,189.68,0,-23.71,165.97,0,165.97
"Hammered Copper Uruli - Small","Isha Life SG","Home Decor - Copper Urilis",3,220,0,-55,165,0,165
"Adiyogi Statue (4 inch, Plastic)","Isha Life SG","Consecrated - Adiyogi Miniatures",27,232.5,-44.12,-25.22,163.16,0,163.16
"Mystic's Musings","Isha Life SG","Books - English",8,180,0,-20,160,0,160
"Adiyogi Copper Earring","A.P. Exports","Jewellery - Earrings",10,160,0,0,160,0,160
"Linga Bhairavi Pendant Rope","Isha Life SG","Consecrated Devi - Pendants",51,159,0,-6,153,0,153
"Devi Kumkum (Small). Consecrated. Made from natural ingredients.","Isha Life SG",,102,153,0,0,153,0,153
"Bloom Shine & Glow Skin Brightening Organic Face Wash With Orange & Licorice Extract (All Skin Types) - 100ml","Isha Life SG","Bloom Skin Care",10,165,0,-15,150,0,150
"Eternal Echoes - A Book Of Poems (1994-2021)","A.P. Exports","Books",3,150,0,0,150,0,150
"Women Organic Cotton Embroidered Aum Kurta - Coral","Isha Life SG","Clothing - Women's Kurtas",6,147,0,0,147,0,147
"Kasthuri Manjal (Wild Turmeric Face Pack), 50 gm","A.P. Exports","Body Care - Face Pack",29,145,0,0,145,0,145
"Organic Incense Camphor, 10 Sticks","A.P. Exports","Home Decor - Incense Sticks",94,142.5,0,-1.5,141,0,141
"Pancha Bhuta Meditation Mat","Isha Life SG","Yoga Store - Cotton Mats",4,175,0,-35,140,0,140
"Moon phases wall hanging - Vertical","Isha Life","Home Decor Wall Hangings - Mystic Moon",7,140,0,0,140,0,140
"Cotton White Shawl","Isha Life SG","Clothing - Women's Accessories",7,140,0,0,140,0,140
"Avighna Yantra Sutra","Isha Life SG","Consecrated - Linga Bhairavi",5,140,0,0,140,0,140
"Organic Incense Sandal - 10 Sticks","A.P. Exports","Home Decor - Incense Sticks",93,139.5,0,0,139.5,0,139.5
"Beeswax Natural Oil Perfume - Relax","Isha Life SG","Body Care - Solid Perfume",9,150,0,-15,135,0,135
"Unisex Save Soil Logo Short Sleeve Organic Cotton Navy Blue T-Shirt","A.P. Exports","Clothing - Unisex T-Shirts",9,135,0,0,135,0,135
"Handloom cotton towel natural dyed - Large","Isha Life SG","Clothing - Towels",7,133,0,0,133,0,133
"Copper Tumbler, 200 ml","Isha Life SG","Yoga Store - Copper Tumblers",12,132,0,0,132,0,132
"Unisex Moon Printed Track Pants - Light Grey","Isha Life SG","Clothing - Unisex Track Pants",6,132,0,0,132,0,132
"Aum Namah Shivaya Adjustable Hammered Copper Cuff","A.P. Exports","Jewellery - Copper",12,132,0,0,132,0,132
"Organic Incense Vanila Yalang, 10 Sticks","Isha Life","Home Decor - Incense Sticks",87,130.5,0,0,130.5,0,130.5
"Organic Incense Lavander, 10 Sticks","Isha Life","Home Decor - Incense Sticks",87,132,0,-1.5,130.5,0,130.5
"Samyama Unisex Organic Cotton Sadhana Full-Sleeve T-Shirt - Orange","Isha Life","Clothing - Unisex T-Shirts",5,125,0,0,125,0,125
"Arthi Stand","Isha Life","Consecrated Devi - Arthi Stand",5,150,0,-25,125,0,125
"Organic Incense Night Queen, 10 Sticks","A.P. Exports","Home Decor - Incense Sticks",82,123,0,0,123,0,123
"Unisex Cotton Moon Silver Printed T-shirt - Dark Grey","A.P. Exports","Clothing - Unisex T-Shirts",7,122.5,0,0,122.5,0,122.5
"Men's Black Hemp Kurta","A.P. Exports","Clothing - Men's Kurtas",5,147,0,-24.5,122.5,0,122.5
"Unisex Cotton Ultimate Outlaw Printed T-shirt - Peach","Isha Life SG","Clothing - Unisex T-Shirts",7,122.5,0,0,122.5,0,122.5
"Organic Incense Musk, 10 Sticks","Isha Life","Home Decor - Incense Sticks",80,123,0,-3,120,0,120
"Handcrafted Antique Diya (Deepam) with Base","Isha Life SG","Home Decor - Deepam / Diya",10,120,0,0,120,0,120
"Beeswax Natural Oil Perfume - Lily of the Valley","Isha Life SG","Body Care - Solid Perfume",8,135,0,-15,120,0,120
"Bloom 24 Hours Skin Hydrating Organic Body Lotion With Hibiscus Extract (Normal to Dry Skin) - 100ml","Isha Life SG","Bloom Skin Care",9,137.5,0,-25,112.5,0,112.5
"Nandi Statue","Isha Life SG","Consecrated - Adiyogi Miniatures",5,110,0,0,110,0,110
"Organic Cotton Yoga Mat Cover","A.P. Exports","Yoga Store - Yoga Mat Covers",11,110,0,0,110,0,110
"Organic Incense Nagachampa, 10 Sticks","A.P. Exports","Home Decor - Incense Sticks",73,109.5,0,0,109.5,0,109.5
"Shivanga Kit without Mala","Isha Life SG","Yoga Programmes Kit Supplies (PBK, Bhutashudhi)",9,108,0,0,108,0,108
"Melange T Shirt Moon Rose with Copper","A.P. Exports","Clothing - Unisex T-Shirts",6,105,0,0,105,0,105
"Organic Incense Bergamot, 10 Sticks","Isha Life","Home Decor - Incense Sticks",70,106.5,0,-1.5,105,0,105
"Jeevarasam Pot Plate - Small","Isha Life SG","Yoga Store - Copper Water Storage",4,100,0,0,100,0,100
"Bond of grace","Isha Life SG",,1,100,0,0,100,0,100
"Brass Tea Light Holder - Mango Leaf","Isha Life SG","Home Decor - Light Holders",4,100,0,0,100,0,100
"Body The Greatest Gadget / Mind Is Your Business","Isha Life SG","Books - English",9,110,0,-11,99,0,99
"Consecrated Adiyogi Silk Shawl","Isha Life SG","Consecrated - Adiyogi Shawls",1,99,0,0,99,0,99
"Adiyogi - The Source of Yoga (English)","Isha Life SG","Books - English",7,98,0,0,98,0,98
"Copper Incense Stand","Isha Life","Home Decor - Incense Stands",7,112,0,-14,98,0,98
"Slim copper cuff. Traditional kada design. Made of pure copper","Isha Life SG","Copper - Bracelet",8,96,0,0,96,0,96
"Handmade Neem Wood Comb with Handle (Narrow teeth)","A.P. Exports","Body Care - Neem Comb",15,96,0,-6,90,0,90
"Children’s Shanmukhi Rudraksha Beads - Six Faced","Isha Life SG","Consecrated - Rudrakshas",15,96,0,-6,90,0,90
"Handmade Neem Wood Comb with Handle (Wider teeth)","Isha Life SG","Body Care - Neem Comb",15,90,0,0,90,0,90
"Unisex Peach Cotton Ananta Copper Printed T-Shirt","A.P. Exports","Clothing - Unisex T-Shirts",5,87.5,0,0,87.5,0,87.5
"Rose Powder Face Pack, 50 gm","A.P. Exports","Body Care - Face Pack",17,85,0,0,85,0,85
"Himalayan Lust","Isha Life SG","Books - English",7,84,0,0,84,0,84
"Snake Dhoop Stand (Copper)","Isha Life SG","Home Decor - Incense Stands",3,81,0,0,81,0,81
"Jeevarasam Pot Plate - Big","Isha Life SG","Yoga Store - Copper Water Storage",2,80,0,0,80,0,80
"Lotus Tea Light Holder - Brass Finish","Isha Life SG","Home Decor - Light Holders",2,80,0,0,80,0,80
"Hammered Copper Water Glass 400ml","A.P. Exports","Yoga Store - Copper Tumblers",4,80,0,0,80,0,80
"Handmade Neem Wood Comb (Narrow Teeth)","A.P. Exports","Body Care - Neem Comb",16,80,0,0,80,0,80
"Devi Turmeric - Big","A.P. Exports","Consecrated Devi - Pooja Offerings",26,78,0,0,78,0,78
"Consecrated Adiyogi Abhaya sutra","Isha Life SG","Consecrated - Sutra",38,76,0,0,76,0,76
"Beeswax Natural Oil Perfume - Jasmine Orient","A.P. Exports","Body Care - Solid Perfume",5,75,0,0,75,0,75
"More Than A Life: Sadhguru","Isha Life","Books - English",5,75,0,0,75,0,75
"Linga Bhairavi Yantra Sutra","A.P. Exports","Consecrated - Sutra",6,75,0,0,75,0,75
"Bloom Skin Deep Nourishing Organic Face Serum With Aloe Vera Extract & Turmeric (All Skin Types) - 30ml","Isha Life SG","Bloom Skin Care",3,75,0,0,75,0,75
"Moon phases wall hanging - Horizontal","Isha Life","Home Decor Wall Hangings - Mystic Moon",3,72,0,0,72,0,72
"Unisex Save Soil Long Sleeve T-Shirt","Isha Life SG","Clothing - Unisex T-Shirts",6,72,0,0,72,0,72
