"Product title","Product variant title","Product variant SKU","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Organic Incense Nagachampa, 10 Sticks","Default Title","HO0027817001",73,109.5,0,0,109.5,0,109.5
"Shivanga Kit without Mala","Default Title","0111268",9,108,0,0,108,0,108
"Miracle of Mind T-shirt","S","CA01950",9,108,0,0,108,0,108
"Samyama Unisex Organic Cotton Half-sleeve Sadhana T-Shirt - White","Small","0401162S",7,105,0,0,105,0,105
"Organic Plain Dhoti Pant Indigo","S","0201228",3,105,0,0,105,0,105
"Organic Incense Bergamot, 10 Sticks","Default Title","HO0027600001",70,106.5,0,-1.5,105,0,105
"Miracle of Mind T-shirt","L","CA01950",9,108,-7.82,0,100.18,0,100.18
"Bond of grace","Default Title","BondofGrace",1,100,0,0,100,0,100
"Brass Tea Light Holder - Mango Leaf","Default Title","0105294",4,100,0,0,100,0,100
"Jeevarasam Pot Plate - Small","Default Title","0111052",4,100,0,0,100,0,100
"Body The Greatest Gadget / Mind Is Your Business","Default Title","9788184956955",9,110,0,-11,99,0,99
"Consecrated Adiyogi Silk Shawl","Default Title","0203316",1,99,0,0,99,0,99
"Men Organic Cotton Beige Knitted Drawstring Pants","M","0201106M",4,98,0,0,98,0,98
"Adiyogi - The Source of Yoga (English)","Default Title","9789352643929",7,98,0,0,98,0,98
"Men's Beige Hemp Kurta","38 / Beige","0201001BeigeS",4,98,0,0,98,0,98
"Copper Incense Stand","Default Title","0105006",7,112,0,-14,98,0,98
"Slim copper cuff. Traditional kada design. Made of pure copper","Default Title","0113891",8,96,0,0,96,0,96
"Samyama Womens Organic Cotton Sadhana Kurta - White","Small","0202535S",4,94.84,0,0,94.84,0,94.84
"Unisex IE 7 Step T-shirt","S","CA0118700200",10,150,-58.17,0,91.83,0,91.83
"Nandhi Ladies Kurta Off White","Small","0202545S",3,90,0,0,90,0,90
"Children’s Shanmukhi Rudraksha Beads - Six Faced","Default Title","RS0000500000",15,96,0,-6,90,0,90
"Handmade Neem Wood Comb with Handle (Wider teeth)","Default Title","0106734",15,90,0,0,90,0,90
"Handmade Neem Wood Comb with Handle (Narrow teeth)","Default Title","0106733",15,96,0,-6,90,0,90
"Nandhi Ladies Kurta Off White","Large","0202545L",3,90,0,0,90,0,90
"Unisex Moon Printed Track Pants - Dark Grey","Medium","0401140M",4,88,0,0,88,0,88
"Unisex Moon Printed Track Pants - Light Grey","Large","0401141L",4,88,0,0,88,0,88
"Unisex Cotton Ultimate Outlaw Printed T-shirt - Peach","L","0401149L",5,87.5,0,0,87.5,0,87.5
"Rose Powder Face Pack, 50 gm","Default Title","8905795000667",17,85,0,0,85,0,85
"Himalayan Lust","Default Title","9788184950762",7,84,0,0,84,0,84
"Snake Dhoop Stand (Copper)","Default Title","0111046",3,81,0,0,81,0,81
"Lotus Tea Light Holder - Brass Finish","Default Title","0105357Pink",2,80,0,0,80,0,80
"Organic Unisex Printed Dhoti Pant Indigo","L","0201233",2,120,0,-40,80,0,80
"Handmade Neem Wood Comb (Narrow Teeth)","Default Title","0106732",16,80,0,0,80,0,80
"Jeevarasam Pot Plate - Big","Default Title","0111050",2,80,0,0,80,0,80
"Hammered Copper Water Glass 400ml","Default Title","0105885",4,80,0,0,80,0,80
"Devi Turmeric - Big","Default Title","0111031",26,78,0,0,78,0,78
"Consecrated Adiyogi Abhaya sutra","Default Title","TC0000100000",38,76,0,0,76,0,76
"Beeswax Natural Oil Perfume - Jasmine Orient","Default Title","0110233",5,75,0,0,75,0,75
"Unisex Save Soil Logo Short Sleeve Organic Cotton Navy Blue T-Shirt","L","0401208 L",5,75,0,0,75,0,75
"Bloom Skin Deep Nourishing Organic Face Serum With Aloe Vera Extract & Turmeric (All Skin Types) - 30ml","Default Title","0116066",3,75,0,0,75,0,75
"Linga Bhairavi Yantra Sutra","Default Title","0111310",6,75,0,0,75,0,75
"Samyama Unisex Organic Cotton Sadhana Full-Sleeve T-Shirt - Orange","M","0401161",3,75,0,0,75,0,75
"More Than A Life: Sadhguru","Default Title","9780143421122",5,75,0,0,75,0,75
"Men Organic Cotton Beige Knitted Drawstring Pants","L","0201106L",3,73.5,0,0,73.5,0,73.5
"Men's Beige Hemp Kurta","40 / Beige","0201001BeigeM",3,73.5,0,0,73.5,0,73.5
"Life and Death in One Breath","Default Title","9788184954425",6,72,0,0,72,0,72
"Moon phases wall hanging - Horizontal","Default Title","0105962",3,72,0,0,72,0,72
"Samyama Mens Organic Cotton Sadhana Kurta - White","Large","0201119L",3,71.13,0,0,71.13,0,71.13
"Organic Plain Dhoti Pant Olive","XL",,2,70,0,0,70,0,70
"Organic Plain Dhoti Pant Olive","L",,2,70,0,0,70,0,70
"Organic Mens Om Kurta Maroon","S","0201201S",3,66,0,0,66,0,66
"Unisex Moon Printed Track Pants - Dark Grey","Small","0401140S",3,66,0,0,66,0,66
"Unisex Moon Printed Track Pants - Dark Grey","Large","0401140L",3,66,0,0,66,0,66
"Organic Dhoti Pant - Black","L","0201110L",3,66,0,0,66,0,66
"Organic Mens Om Kurta Maroon","M","0201201M",3,66,0,0,66,0,66
"Devi Abhishekam kit","Default Title","0114752",4,64,0,0,64,0,64
"Handcrafted Antique Brass Diya (Deepam)","Default Title","0105116",7,72,0,-9,63,0,63
"Bamboo Toothbrush - Kids","Default Title","0106738",12,65,0,-5,60,0,60
"Samyama Unisex Organic Cotton Half-sleeve Sadhana T-Shirt - White","Large","0401162L",4,60,0,0,60,0,60
"Nandhi Ladies Kurta Off White","Medium","0202545M",2,60,0,0,60,0,60
"Adiyogi Statue Metal - 4 inch - Antique Nickel","Default Title","TC0007517700",1,60,0,0,60,0,60
"Unisex Save Soil Long Sleeve T-Shirt","M","040112_LS_M",5,60,0,0,60,0,60
"Thread for Restringing Rudraksha Mala","Default Title","SILK_THREAD_RUDRAKSH",28,56,0,0,56,0,56
"Trishul Adjustable Brass Cuff","Default Title","CA0120300000",6,54,0,0,54,0,54
"Unisex Save Soil Short Sleeve T-Shirt","L","040112_SS_L",6,63,0,-9,54,0,54
"Adiyogi Chant Box & Night Lamp - Regular","Default Title","TC0008700400",3,54,0,0,54,0,54
"Unisex IE 7 Step T-shirt","XL","CA0118700500",6,90,-36.12,0,53.88,0,53.88
"Unisex Cotton Anand Copper Printed T-shirt - Olive","S","0401135S",3,52.5,0,0,52.5,0,52.5
"Melange T Shirt Moon Rose with Copper","S","0401133S",3,52.5,0,0,52.5,0,52.5
"Unisex Peach Cotton Ananta Copper Printed T-Shirt","M","0401134M",3,52.5,0,0,52.5,0,52.5
"Unisex Cotton Moon Silver Printed T-shirt - Dark Grey","S","0401131S",3,52.5,0,0,52.5,0,52.5
"Samyama Unisex Organic Cotton Sadhana Half-Sleeve T-Shirt - Orange","Large","0401161L",3,51,0,0,51,0,51
"Copper Water Bottle Engraved with Sadhguru Quote, 700 ml","Default Title","0111203",1,50,0,0,50,0,50
"Moringa Energy Bar - Pack of 10","Default Title","NF0012900000",5,50,0,0,50,0,50
"Nilibhrngadi Thailam (Hair Oil), 100 ml","Default Title","8905795000681",5,50,0,0,50,0,50
"Samyama Unisex Organic Cotton Sadhana Full-Sleeve T-Shirt - Orange","L","0401160",2,50,0,0,50,0,50
"Men's Black Hemp Kurta","Large","0201001BlackL",2,73.5,0,-24.5,49,0,49
"Women Organic Cotton Embroidered Aum Kurta - Pink","S","0202529S",2,49,0,0,49,0,49
"Women Organic Cotton Knitted Drawstring Pants - Beige","L","0202533L",2,49,0,0,49,0,49
"Handmade Neem Wood Comb (Two in one)","Default Title","0106735",7,56,0,-7,49,0,49
"Men Organic Cotton Knitted Drawstring Pants - White","M","0201105M",2,49,0,0,49,0,49
"Women Organic Cotton Knitted Drawstring Pants - Beige","M","0202533M",2,49,0,0,49,0,49
"Men Organic Cotton Beige Knitted Drawstring Pants","S","0201106S",2,73.5,0,-24.5,49,0,49
"Miracle of Mind T-shirt","XL","CA01950",6,72,-23.47,0,48.53,0,48.53
"Bloom Purifying & Acne Control Organic Face Wash With Neem & Tulsi Extract (Oily Skin) - 100ml","Default Title","0116059",3,48,0,0,48,0,48
"Indian Experience Towel - Big","Default Title","0402045",4,48,0,0,48,0,48
"Youth and Truth Journal - Grey","Default Title","MIS026-Grey",4,48,0,0,48,0,48
"Samyama Womens Organic Cotton Sadhana Kurta - White","Large","0202535L",2,71.13,0,-23.71,47.42,0,47.42
"Golden Diffuser Perfume Burner","Default Title","0601134",1,47,0,0,47,0,47
